"eval/step","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - _step","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - _step__MIN","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - _step__MAX","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - eval/MCPenv_response_lengths","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - eval/MCPenv_response_lengths__MIN","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - eval/MCPenv_response_lengths__MAX","Llama-Guard-3-8B_ofk5vibk-RANK_0 - _step","Llama-Guard-3-8B_ofk5vibk-RANK_0 - _step__MIN","Llama-Guard-3-8B_ofk5vibk-RANK_0 - _step__MAX","Llama-Guard-3-8B_ofk5vibk-RANK_0 - eval/MCPenv_response_lengths","Llama-Guard-3-8B_ofk5vibk-RANK_0 - eval/MCPenv_response_lengths__MIN","Llama-Guard-3-8B_ofk5vibk-RANK_0 - eval/MCPenv_response_lengths__MAX","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - _step","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - _step__MIN","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - _step__MAX","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - eval/MCPenv_response_lengths","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - eval/MCPenv_response_lengths__MIN","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - eval/MCPenv_response_lengths__MAX","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - _step","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - _step__MIN","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - _step__MAX","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - eval/MCPenv_response_lengths","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - eval/MCPenv_response_lengths__MIN","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - eval/MCPenv_response_lengths__MAX","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - _step","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - _step__MIN","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - _step__MAX","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - eval/MCPenv_response_lengths","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - eval/MCPenv_response_lengths__MIN","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - eval/MCPenv_response_lengths__MAX"
"0","0","0","0","37.68577494692144","37.68577494692144","37.68577494692144","0","0","0","50.01380042462845","50.01380042462845","50.01380042462845","0","0","0","47.683651804670916","47.683651804670916","47.683651804670916","0","0","0","46.1656050955414","46.1656050955414","46.1656050955414","0","0","0","43.653927813163484","43.653927813163484","43.653927813163484"
"19","81","81","81","36.78450106157113","36.78450106157113","36.78450106157113","81","81","81","49.353503184713375","49.353503184713375","49.353503184713375","81","81","81","47.97027600849257","47.97027600849257","47.97027600849257","82","82","82","45.63588110403397","45.63588110403397","45.63588110403397","81","81","81","42.31528662420382","42.31528662420382","42.31528662420382"
"39","162","162","162","38.652866242038215","38.652866242038215","38.652866242038215","162","162","162","44.93312101910828","44.93312101910828","44.93312101910828","162","162","162","46.495753715498935","46.495753715498935","46.495753715498935","162","162","162","44.169851380042466","44.169851380042466","44.169851380042466","162","162","162","39.76008492569002","39.76008492569002","39.76008492569002"
"59","243","243","243","36.03609341825902","36.03609341825902","36.03609341825902","243","243","243","42.35774946921444","42.35774946921444","42.35774946921444","243","243","243","41.36518046709129","41.36518046709129","41.36518046709129","243","243","243","40.09766454352442","40.09766454352442","40.09766454352442","244","244","244","32.91613588110403","32.91613588110403","32.91613588110403"
"79","324","324","324","35.67515923566879","35.67515923566879","35.67515923566879","324","324","324","41.43099787685775","41.43099787685775","41.43099787685775","324","324","324","36.25583864118896","36.25583864118896","36.25583864118896","324","324","324","36.330148619957534","36.330148619957534","36.330148619957534","324","324","324","29.841825902335458","29.841825902335458","29.841825902335458"
"99","405","405","405","35.23460721868365","35.23460721868365","35.23460721868365","405","405","405","39.98619957537155","39.98619957537155","39.98619957537155","405","405","405","31.319532908704883","31.319532908704883","31.319532908704883","405","405","405","38.73460721868365","38.73460721868365","38.73460721868365","406","406","406","29.452229299363058","29.452229299363058","29.452229299363058"
"119","487","487","487","32.246284501061574","32.246284501061574","32.246284501061574","486","486","486","44.18471337579618","44.18471337579618","44.18471337579618","486","486","486","31.312101910828027","31.312101910828027","31.312101910828027","486","486","486","42.57855626326964","42.57855626326964","42.57855626326964","486","486","486","29.528662420382165","29.528662420382165","29.528662420382165"
"139","567","567","567","33.37367303609342","33.37367303609342","33.37367303609342","567","567","567","42.00106157112526","42.00106157112526","42.00106157112526","567","567","567","32.09023354564756","32.09023354564756","32.09023354564756","567","567","567","39.3343949044586","39.3343949044586","39.3343949044586","567","567","567","29.494692144373673","29.494692144373673","29.494692144373673"
"159","648","648","648","32.210191082802545","32.210191082802545","32.210191082802545","648","648","648","40.90233545647558","40.90233545647558","40.90233545647558","648","648","648","31.115711252653927","31.115711252653927","31.115711252653927","648","648","648","40.19851380042463","40.19851380042463","40.19851380042463","648","648","648","29.480891719745223","29.480891719745223","29.480891719745223"
"179","729","729","729","35.41295116772824","35.41295116772824","35.41295116772824","729","729","729","40.76963906581741","40.76963906581741","40.76963906581741","729","729","729","29.937367303609342","29.937367303609342","29.937367303609342","729","729","729","37.10084925690021","37.10084925690021","37.10084925690021","729","729","729","29.42569002123142","29.42569002123142","29.42569002123142"
"199","810","810","810","46.37791932059448","46.37791932059448","46.37791932059448","810","810","810","41.49150743099788","41.49150743099788","41.49150743099788","810","810","810","30.993630573248407","30.993630573248407","30.993630573248407","810","810","810","43.99044585987261","43.99044585987261","43.99044585987261","810","810","810","29.331210191082803","29.331210191082803","29.331210191082803"
"219","891","891","891","43.131634819532906","43.131634819532906","43.131634819532906","891","891","891","35.953290870488324","35.953290870488324","35.953290870488324","891","891","891","37.496815286624205","37.496815286624205","37.496815286624205","891","891","891","42.94055201698514","42.94055201698514","42.94055201698514","891","891","891","29.358811040339702","29.358811040339702","29.358811040339702"
"239","972","972","972","42.78025477707006","42.78025477707006","42.78025477707006","","","","","","","972","972","972","34.5552016985138","34.5552016985138","34.5552016985138","972","972","972","42.368365180467094","42.368365180467094","42.368365180467094","972","972","972","29.098726114649683","29.098726114649683","29.098726114649683"