"eval/step","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - _step","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - _step__MIN","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - _step__MAX","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - eval/MCPenv_rewards","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - eval/MCPenv_rewards__MIN","DeepSeek-R1-0528-Qwen3-8B_fkcbi1qj-RANK_0 - eval/MCPenv_rewards__MAX","Llama-Guard-3-8B_ofk5vibk-RANK_0 - _step","Llama-Guard-3-8B_ofk5vibk-RANK_0 - _step__MIN","Llama-Guard-3-8B_ofk5vibk-RANK_0 - _step__MAX","Llama-Guard-3-8B_ofk5vibk-RANK_0 - eval/MCPenv_rewards","Llama-Guard-3-8B_ofk5vibk-RANK_0 - eval/MCPenv_rewards__MIN","Llama-Guard-3-8B_ofk5vibk-RANK_0 - eval/MCPenv_rewards__MAX","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - _step","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - _step__MIN","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - _step__MAX","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - eval/MCPenv_rewards","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - eval/MCPenv_rewards__MIN","Qwen3Guard-Gen-4B_2dgr01u7-RANK_0 - eval/MCPenv_rewards__MAX","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - _step","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - _step__MIN","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - _step__MAX","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - eval/MCPenv_rewards","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - eval/MCPenv_rewards__MIN","Llama-3.1-8B-Instruct_23a9xngm-RANK_0 - eval/MCPenv_rewards__MAX","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - _step","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - _step__MIN","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - _step__MAX","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - eval/MCPenv_rewards","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - eval/MCPenv_rewards__MIN","Qwen3-4B-Instruct-2507_nq66ujwn-RANK_0 - eval/MCPenv_rewards__MAX"
"0","0","0","0","0.583864118895966","0.583864118895966","0.583864118895966","0","0","0","0.5743099787685775","0.5743099787685775","0.5743099787685775","0","0","0","0.5074309978768577","0.5074309978768577","0.5074309978768577","0","0","0","0.6411889596602972","0.6411889596602972","0.6411889596602972","0","0","0","0.5456475583864119","0.5456475583864119","0.5456475583864119"
"19","81","81","81","0.5987261146496815","0.5987261146496815","0.5987261146496815","81","81","81","0.5923566878980892","0.5923566878980892","0.5923566878980892","81","81","81","0.5435244161358811","0.5435244161358811","0.5435244161358811","82","82","82","0.6369426751592356","0.6369426751592356","0.6369426751592356","81","81","81","0.554140127388535","0.554140127388535","0.554140127388535"
"39","162","162","162","0.5902335456475584","0.5902335456475584","0.5902335456475584","162","162","162","0.6040339702760085","0.6040339702760085","0.6040339702760085","162","162","162","0.5360934182590233","0.5360934182590233","0.5360934182590233","162","162","162","0.6518046709129511","0.6518046709129511","0.6518046709129511","162","162","162","0.564755838641189","0.564755838641189","0.564755838641189"
"59","243","243","243","0.5636942675159236","0.5636942675159236","0.5636942675159236","243","243","243","0.6454352441613588","0.6454352441613588","0.6454352441613588","243","243","243","0.5339702760084926","0.5339702760084926","0.5339702760084926","243","243","243","0.6634819532908705","0.6634819532908705","0.6634819532908705","244","244","244","0.5774946921443737","0.5774946921443737","0.5774946921443737"
"79","324","324","324","0.589171974522293","0.589171974522293","0.589171974522293","324","324","324","0.7016985138004246","0.7016985138004246","0.7016985138004246","324","324","324","0.5668789808917197","0.5668789808917197","0.5668789808917197","324","324","324","0.6825902335456475","0.6825902335456475","0.6825902335456475","324","324","324","0.5870488322717622","0.5870488322717622","0.5870488322717622"
"99","405","405","405","0.5881104033970276","0.5881104033970276","0.5881104033970276","405","405","405","0.7388535031847133","0.7388535031847133","0.7388535031847133","405","405","405","0.5488322717622081","0.5488322717622081","0.5488322717622081","405","405","405","0.7144373673036093","0.7144373673036093","0.7144373673036093","406","406","406","0.5902335456475584","0.5902335456475584","0.5902335456475584"
"119","487","487","487","0.5859872611464968","0.5859872611464968","0.5859872611464968","486","486","486","0.7292993630573248","0.7292993630573248","0.7292993630573248","486","486","486","0.5626326963906582","0.5626326963906582","0.5626326963906582","486","486","486","0.7494692144373672","0.7494692144373672","0.7494692144373672","486","486","486","0.5923566878980892","0.5923566878980892","0.5923566878980892"
"139","567","567","567","0.6050955414012739","0.6050955414012739","0.6050955414012739","567","567","567","0.7707006369426752","0.7707006369426752","0.7707006369426752","567","567","567","0.5615711252653928","0.5615711252653928","0.5615711252653928","567","567","567","0.7622080679405521","0.7622080679405521","0.7622080679405521","567","567","567","0.5934182590233545","0.5934182590233545","0.5934182590233545"
"159","648","648","648","0.618895966029724","0.618895966029724","0.618895966029724","648","648","648","0.7717622080679406","0.7717622080679406","0.7717622080679406","648","648","648","0.5721868365180467","0.5721868365180467","0.5721868365180467","648","648","648","0.7569002123142251","0.7569002123142251","0.7569002123142251","648","648","648","0.6061571125265393","0.6061571125265393","0.6061571125265393"
"179","729","729","729","0.6199575371549894","0.6199575371549894","0.6199575371549894","729","729","729","0.7983014861995754","0.7983014861995754","0.7983014861995754","729","729","729","0.5806794055201698","0.5806794055201698","0.5806794055201698","729","729","729","0.7430997876857749","0.7430997876857749","0.7430997876857749","729","729","729","0.6019108280254777","0.6019108280254777","0.6019108280254777"
"199","810","810","810","0.6868365180467091","0.6868365180467091","0.6868365180467091","810","810","810","0.8067940552016986","0.8067940552016986","0.8067940552016986","810","810","810","0.578556263269639","0.578556263269639","0.578556263269639","810","810","810","0.7696390658174098","0.7696390658174098","0.7696390658174098","810","810","810","0.6104033970276008","0.6104033970276008","0.6104033970276008"
"219","891","891","891","0.7133757961783439","0.7133757961783439","0.7133757961783439","891","891","891","0.7600849256900213","0.7600849256900213","0.7600849256900213","891","891","891","0.6231422505307855","0.6231422505307855","0.6231422505307855","891","891","891","0.7717622080679406","0.7717622080679406","0.7717622080679406","891","891","891","0.6263269639065817","0.6263269639065817","0.6263269639065817"
"239","972","972","972","0.7112526539278131","0.7112526539278131","0.7112526539278131","","","","","","","972","972","972","0.6125265392781316","0.6125265392781316","0.6125265392781316","972","972","972","0.7823779193205945","0.7823779193205945","0.7823779193205945","972","972","972","0.6273885350318471","0.6273885350318471","0.6273885350318471"